2022-12-29 11:29:11 | INFO     | DF | Running on torch 1.13.0+cu117
2022-12-29 11:29:11 | INFO     | DF | Running on host desktop-manjaro
2022-12-29 11:29:11 | INFO     | DF | Loading model settings of output
2022-12-29 11:29:11 | INFO     | DF | Running on device cuda:0
2022-12-29 11:29:11 | INFO     | DF | Initializing model `deepfilternet`
2022-12-29 11:29:13 | INFO     | DF | Initializing dataloader with data directory /home/peterrc/Documents/train/
2022-12-29 11:29:13 | INFO     | DF | Loading HDF5 key cache from /home/peterrc/Documents/train/.cache_dataset.cfg
2022-12-29 11:29:13 | WARNING  | DF | Could not find cached keys for training_20000_samples.hdf5
2022-12-29 11:29:13 | WARNING  | DF | Could not find cached keys for training_20000_samples.hdf5
2022-12-29 11:29:13 | WARNING  | DF | Could not find cached keys for training_20000_samples.hdf5
2022-12-29 11:29:13 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 11:29:13 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 11:29:13 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 11:39:12 | INFO     | DF | [0] [ 9100/19999] | loss:  0.01517 | lr:  1.607E-04
2022-12-29 11:39:19 | INFO     | DF | [0] [ 9200/19999] | loss:  0.01344 | lr:  1.613E-04
2022-12-29 11:39:26 | INFO     | DF | [0] [ 9300/19999] | loss:  0.01338 | lr:  1.620E-04
2022-12-29 11:39:33 | INFO     | DF | [0] [ 9400/19999] | loss:  0.01776 | lr:  1.627E-04
2022-12-29 11:39:39 | INFO     | DF | [0] [ 9500/19999] | loss:  0.01624 | lr:  1.633E-04
2022-12-29 11:39:46 | INFO     | DF | [0] [ 9600/19999] | loss:  0.01419 | lr:  1.640E-04
2022-12-29 11:39:52 | INFO     | DF | [0] [ 9700/19999] | loss:  0.01584 | lr:  1.647E-04
2022-12-29 11:39:59 | INFO     | DF | [0] [ 9800/19999] | loss:  0.01340 | lr:  1.653E-04
2022-12-29 11:40:05 | INFO     | DF | [0] [ 9900/19999] | loss:  0.01467 | lr:  1.660E-04
2022-12-29 11:40:12 | INFO     | DF | [0] [10000/19999] | loss:  0.01880 | lr:  1.667E-04
2022-12-29 11:40:19 | INFO     | DF | [0] [10100/19999] | loss:  0.01183 | lr:  1.673E-04
2022-12-29 11:40:25 | INFO     | DF | [0] [10200/19999] | loss:  0.01221 | lr:  1.680E-04
2022-12-29 11:40:32 | INFO     | DF | [0] [10300/19999] | loss:  0.01692 | lr:  1.687E-04
2022-12-29 11:40:38 | INFO     | DF | [0] [10400/19999] | loss:  0.01888 | lr:  1.693E-04
2022-12-29 11:40:45 | INFO     | DF | [0] [10500/19999] | loss:  0.01348 | lr:  1.700E-04
2022-12-29 11:40:51 | INFO     | DF | [0] [10600/19999] | loss:  0.01452 | lr:  1.707E-04
2022-12-29 11:40:58 | INFO     | DF | [0] [10700/19999] | loss:  0.01281 | lr:  1.713E-04
2022-12-29 11:41:04 | INFO     | DF | [0] [10800/19999] | loss:  0.01399 | lr:  1.720E-04
2022-12-29 11:41:11 | INFO     | DF | [0] [10900/19999] | loss:  0.01162 | lr:  1.727E-04
2022-12-29 11:41:18 | INFO     | DF | [0] [11000/19999] | loss:  0.01049 | lr:  1.733E-04
2022-12-29 11:41:25 | INFO     | DF | [0] [11100/19999] | loss:  0.01842 | lr:  1.740E-04
2022-12-29 11:41:32 | INFO     | DF | [0] [11200/19999] | loss:  0.01462 | lr:  1.747E-04
2022-12-29 11:41:39 | INFO     | DF | [0] [11300/19999] | loss:  0.01290 | lr:  1.753E-04
2022-12-29 11:41:46 | INFO     | DF | [0] [11400/19999] | loss:  0.01290 | lr:  1.760E-04
2022-12-29 11:41:52 | INFO     | DF | [0] [11500/19999] | loss:  0.01209 | lr:  1.767E-04
2022-12-29 11:41:59 | INFO     | DF | [0] [11600/19999] | loss:  0.01263 | lr:  1.773E-04
2022-12-29 11:42:05 | INFO     | DF | [0] [11700/19999] | loss:  0.01290 | lr:  1.780E-04
2022-12-29 11:42:12 | INFO     | DF | [0] [11800/19999] | loss:  0.01520 | lr:  1.787E-04
2022-12-29 11:42:18 | INFO     | DF | [0] [11900/19999] | loss:  0.01154 | lr:  1.793E-04
2022-12-29 11:42:25 | INFO     | DF | [0] [12000/19999] | loss:  0.01768 | lr:  1.800E-04
2022-12-29 11:42:31 | INFO     | DF | [0] [12100/19999] | loss:  0.01472 | lr:  1.807E-04
2022-12-29 11:42:37 | INFO     | DF | [0] [12200/19999] | loss:  0.01298 | lr:  1.813E-04
